,id,tipo,nombre,latitud,longitud,elevacion,iso_region,Ciudad,score
606,38895,heliport,La Caldera Heliport,-36.6669,-56.6789,32.0,AR-B,Costa Azul,25
607,38860,heliport,Helicenter Heliport,-34.4975,-58.6069,113.0,AR-B,Don Torcuato,25
608,39025,heliport,Tecnocopter S.A. Heliport,-34.4922,-58.6061,65.0,AR-B,Don Torcuato,25
609,39028,heliport,Timen S.A. Heliport,-34.4964,-58.6078,19.0,AR-B,Don Torcuato,25
610,39041,heliport,Transener S.A. Heliport,-26.9936,-65.1636,1239.0,AR-T,El Bracho,25
611,38830,heliport,Estancia Santa Ana Heliport,-51.6839,-71.9689,665.0,AR-Z,El Turbio,25
612,38767,heliport,Central Nuclear Heliport,-32.2294,-64.44,1738.0,AR-X,Embalse Rio Tercero,25
613,39033,heliport,Transener S.A. Heliport,-34.9136,-58.7222,65.0,AR-B,Ezeiza,25
614,38950,heliport,Miraflores Country Club Heliport,-34.4461,-58.7342,68.0,AR-B,Garin,25
615,39046,heliport,Unidad Penitenciaria N° 30 Heliport,-36.0444,-60.0167,180.0,AR-B,General Alvear,25
616,39004,heliport,San Isidro Labrador Heliport,-35.0814,-63.0822,377.0,AR-B,General Villegas,25
617,38940,heliport,Manuel Afonso Heliport,-34.815,-58.1953,36.0,AR-B,Hudson,25
618,38730,heliport,Azcarate Irastorza Heliport,-35.1994,-63.6008,416.0,AR-L,Intendente Alvear,25
619,38879,heliport,Intendente Alvear Heliport,-35.2494,-63.5342,416.0,AR-L,Intendente Alvear,25
620,38827,heliport,Estancia Palitue Heliport,-39.8528,-71.0464,2817.0,AR-Q,Junin De Los Andes,25
621,38896,heliport,La Carolina Heliport,-31.3525,-64.2828,1485.0,AR-X,La Carolina,25
622,38959,heliport,Oficial Subinspector Gustavo Soarez De Souza Heliport,-34.7236,-58.515,141.0,AR-B,La Matanza,25
623,39026,heliport,Terminal Y.P.F. Heliport,-34.7322,-58.5589,32.0,AR-B,La Matanza,25
624,38795,heliport,D.P.A.O. Heliport,-34.9597,-57.8928,62.0,AR-B,La Plata,25
625,38804,heliport,Ecodyma S.C.A. Heliport,-34.9408,-57.9919,45.0,AR-B,La Plata,25
626,38975,heliport,Policlinico San Martin Heliport,-34.9167,-57.9167,68.0,AR-B,La Plata,25
627,38911,heliport,Lago Escondido Heliport,-41.7033,-71.6075,2722.0,AR-R,Lago Escondido,25
628,38819,heliport,Estancia Haychol Heliport,-38.6481,-70.6775,3447.0,AR-Q,Las Lajas,25
629,38943,heliport,Match Point Heliport,-34.5161,-59.1339,82.0,AR-B,Lujan,25
630,39018,heliport,Sol De Agosto Heliport,-34.5331,-58.9714,32.0,AR-B,Lujan,25
631,39034,heliport,Transener S.A. Heliport,-32.3694,-66.0631,1968.0,AR-D,Lujan,25
632,39015,heliport,Saturnino Unzue Heliport,-35.4244,-60.1561,164.0,AR-B,Mar del Plata,25
633,38695,heliport,Abel Monteverde Heliport,-32.9208,-62.4663,2646.0,AR-X,Monte Buey,25
634,39043,heliport,Montecristo / Transener S.A. Heliport,-31.3392,-63.9138,1082.0,AR-X,Monte Cristo,25
635,38867,heliport,Heliwest Heliport,-34.6336,-58.7511,71.0,AR-B,Moreno,25
